year,county,cause,sex,age_code,N
108,0109,08,1,23,2
108,0109,08,2,17,1
108,0109,08,2,19,1
108,0109,08,2,20,1
108,0109,08,2,21,2
108,0109,08,2,22,2
108,0109,08,2,23,2
108,0109,08,2,24,1
108,0109,09,1,18,1
108,0109,09,1,20,1
108,0109,09,2,20,1
108,0109,09,2,22,1
108,0109,10,1,14,1
108,0109,10,1,17,1
108,0109,10,1,20,1
108,0109,10,1,22,3
108,0109,10,2,17,2
108,0109,10,2,18,2
108,0109,10,2,19,4
108,0109,10,2,22,2
108,0109,10,2,24,1
108,0109,13,1,15,2
108,0109,13,1,17,2
108,0109,13,1,18,1
108,0109,13,1,19,4
108,0109,13,1,20,6
108,0109,13,1,21,12
108,0109,13,1,22,5
108,0109,13,1,23,6
108,0109,13,1,25,1
108,0109,13,2,17,1
108,0109,13,2,18,2
108,0109,13,2,19,2
108,0109,13,2,20,6
108,0109,13,2,21,1
108,0109,13,2,22,4
108,0109,13,2,23,4
108,0109,13,2,24,2
108,0109,13,2,25,1
108,0109,16,2,15,1
108,0109,18,1,15,1
108,0109,18,1,18,1
108,0109,18,1,19,1
108,0109,18,1,21,1
108,0109,18,1,22,1
108,0109,18,2,19,1
108,0109,19,2,13,1
108,0109,19,2,14,1
108,0109,19,2,15,1
108,0109,19,2,16,1
108,0109,19,2,18,7
108,0109,19,2,19,2
108,0109,19,2,21,2
108,0109,19,2,22,1
108,0109,19,2,23,1
108,0109,20,2,15,2
108,0109,20,2,20,1
108,0109,21,2,16,1
108,0109,21,2,17,1
108,0109,21,2,18,2
108,0109,21,2,19,2
108,0109,22,2,18,1
108,0109,22,2,19,1
108,0109,23,1,18,1
108,0109,23,1,19,1
108,0109,23,1,20,1
108,0109,23,1,21,1
108,0109,23,1,22,1
108,0109,23,1,23,2
108,0109,25,1,19,1
108,0109,25,1,22,1
108,0109,25,1,24,1
108,0109,25,2,18,1
108,0109,25,2,22,1
108,0109,26,1,18,1
108,0109,26,1,19,1
108,0109,26,1,21,1
108,0109,26,1,23,1
108,0109,26,1,24,2
108,0109,26,2,17,1
108,0109,26,2,22,2
108,0109,27,1,12,1
108,0109,27,1,14,1
108,0109,27,1,17,1
108,0109,27,1,18,1
108,0109,27,1,24,1
108,0109,27,2,12,1
108,0109,29,2,17,1
108,0109,31,1,19,2
108,0109,31,1,22,1
108,0109,31,1,23,1
108,0109,31,1,24,1
108,0109,31,2,18,1
108,0109,31,2,22,1
108,0109,31,2,23,1
108,0109,32,1,20,1
108,0109,32,1,21,1
108,0109,32,2,17,1
108,0109,32,2,19,1
108,0109,32,2,24,1
108,0109,33,1,14,1
108,0109,33,1,18,4
108,0109,33,1,19,1
108,0109,33,1,21,1
108,0109,33,1,22,3
108,0109,33,1,24,1
108,0109,33,2,20,2
108,0110,01,1,17,2
108,0110,01,1,19,4
108,0110,01,1,21,2
108,0110,01,1,22,1
108,0110,01,1,24,2
108,0110,01,2,18,1
108,0110,01,2,19,1
108,0110,01,2,23,2
108,0110,01,2,24,1
108,0110,02,2,17,1
108,0110,02,2,20,1
108,0110,03,1,15,1
108,0110,03,1,17,1
108,0110,03,1,18,1
108,0110,03,2,18,1
108,0110,03,2,21,1
108,0110,04,1,15,1
108,0110,04,1,16,1
108,0110,04,1,17,2
108,0110,04,1,18,3
108,0110,04,1,20,1
108,0110,04,1,24,1
108,0110,04,2,17,1
108,0110,05,1,15,2
108,0110,05,1,18,1
108,0110,05,1,19,2
108,0110,05,1,20,1
108,0110,05,1,21,2
108,0110,05,1,22,3
108,0110,05,1,23,2
108,0110,05,1,25,1
108,0110,05,2,16,1
108,0110,05,2,17,1
108,0110,05,2,19,2
108,0110,05,2,20,1
108,0110,05,2,21,2
108,0110,05,2,23,2
108,0110,05,2,24,2
108,0110,07,1,14,1
108,0110,07,1,15,1
108,0110,07,1,17,1
108,0110,07,1,18,2
108,0110,07,1,19,2
108,0110,07,1,20,2
